run,subject_id,n_trials,held_out_sample_signature,accuracy,balanced_accuracy,macro_f1
baseline_csp_lda,63,158,cdfd03c8cb520596b653abbe00cdb28700432617a1e9e1c0e16a584c119e54fb,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,64,156,fec136b6b26986339296b7e67a370b60a0ca1c0064edc9b358ed450b4d3ed29e,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,65,158,0d143da414aa13b6994a9eae491bf7ec07f07d184fd4fbb9de35e155b685ec64,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,66,158,24ff9eb02511adadd026142b6781176e239b8f3285d1998d2b1e16fdfad18ab9,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,67,157,940caf84657e7674b0cb0d12c608bc3408b3bfa3def0cdb552a13df51947f86a,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,68,158,7b3e814e8ea1f64ab4640cc106baa89b2aee5f397c92123106aa5d22502ba8f2,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,69,158,249b490abfa5998646ea787074efd0f0096c6758d1ad546eb7da16139ff5cfa8,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,70,157,73e0fd72f6c1ac6793b1e52a472f9f5072ee0742a62ca09b306d8364444d8f32,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,71,157,c325e5bcf6b468535834dab9018976cc159ae9c10de88bb652e9ef4a3c3c09b8,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,72,154,c3a4f7e32ff0fbd7d4a0e7db6e3d82382f7d79c96d803e8b19ec2aff8e1c73a1,0.5909090909090909,0.2619047619047619,0.2079124579124579
baseline_csp_lda,73,153,ba20816828c6a955f16a698597e9acdbc0cbe11c28467a1a591e343c51853a0d,0.5882352941176471,0.25,0.18518518518518517
baseline_csp_lda,74,154,9598372f8fc378d394fc11af80977386e0b86c9a55dc65f058767af396672a35,0.5844155844155844,0.25,0.18442622950819673
baseline_csp_lda,75,159,7c1cbde36592800b343f641f6f27c3c31ad5a24f9d86f59399352689f41fda05,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,76,153,98bc520f09f12c0000d8b3418173f321e74bd17f189314ef3c288bd9888d319e,0.1503267973856209,0.2373015873015873,0.07750478424594111
baseline_csp_lda,77,158,40e5dc157d4e182394bc15f5d11e66df8cc0f2d200e00176b9824ffeaa63f829,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,78,158,4b625b01c114cf21338b4d7ff0aa7a985c6cf806f9d4baa1c1e6e07f3c9094d3,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,79,159,20e6c6b2fe501d11255fbf0e3e98086c478e25e6611a2a7ab7ce76719a0ec03a,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,80,156,3b0f7aab843de5b71471c0153ee8f9f9f31128e933224efef6234783e1205c1c,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,81,158,cfeaf253ef337cfb1532148d6688c997d49e1659ec4c0ad7693330822061ec23,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,82,156,2635a0df764a2c85c22cb04a6df79f532556cfa17e2bd47450494632f34cbd69,0.5769230769230769,0.2585858585858586,0.2031275720164609
baseline_csp_lda,83,158,f25c46fd679f019d8fcb18fa3fa425785a4b73b09289de98764ae64763ec556a,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,84,158,9b1f189530b1b5963e40c18df61af0aace5e8efa996dcfe5240d816519aadfd6,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,85,157,8250532f56b065e3d27a221ba57d1649cf018d83edca5840f71cbd6d7f83589a,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,86,159,41571d1afe7b2e66e17798874869545ac6297955e70dccad7db0144ebd882179,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,87,157,55ad47fd220f7d0307389a4991d250ec05c7c30a170c321a1b69d749117339c6,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,90,158,8a7d9027df54d6ed813c5a441203642f92fc71a233247137e716ab0f2be37f7d,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,91,158,2ba8409bd6ebcc4a4b934e9f2ef515bab9f14b8e419509aaed1c8348e04d8b0b,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,93,157,4b171574850cf59edae9783ecc5b8a6e5e31285b08891c7cf921f31661968414,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,94,158,d7ababb6686700237bcae59fa707ff53b8279d19ab235fa1784543761e9d4a92,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,95,158,046a5496c6e44037396f4465891283c1d1d1567b5b65415e24684c2b076223bf,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,96,159,76d47bd905e75fd08f990055045cd0e9898b1638fa86600d9f8ede715389e2ca,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,97,157,c637865a6d4cdf64bf41afac4696e071d9b628503b76e24cd97de8b7d5846b3c,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,98,159,77c20773e2b3eb78ce5c0f017be3547ac1eeac74388a167ff6eefa847674ba8b,0.5660377358490566,0.25,0.18072289156626506
baseline_csp_lda,99,159,37a01d1cb1e0602f0b064f6af3dd3eacba03b061b758a77739a409ba0a074355,0.5534591194968553,0.24444444444444444,0.17813765182186234
baseline_csp_lda,101,156,4e3628ae01b799524340b14b3ff090a50207e63a45e384b6fe63b537e853d33f,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,102,154,31b3f297a856d793fa66cef18cfa2739e78116ee34ab9fcd8d090fb251f9ef22,0.5844155844155844,0.25,0.18442622950819673
baseline_csp_lda,103,158,f38b966e739ae8583b164c236632188c0f9952e81261baee509aa002c555fe20,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,105,156,89adde456b0f1ccf1fd165125603905c0339ede8c39050c3102ae76fb4c7301a,0.5769230769230769,0.25,0.18292682926829268
baseline_csp_lda,106,157,b9c948da90fd49d3da76b364d94243b22c39ace5d61b7b7f22dd015a46528641,0.5732484076433121,0.25,0.18218623481781376
baseline_csp_lda,107,158,0f3fa893f05476ffe27a45498f98f724b91a56ff51b3e424ddd42fa71229b21e,0.569620253164557,0.26825396825396824,0.22032786885245903
baseline_csp_lda,108,158,d6b72f176a93aaa80c91f40530e15c3a56c44b73efe9ac49c7fa633c74343cb1,0.569620253164557,0.25,0.1814516129032258
baseline_csp_lda,109,157,887398fc40c3b0c5646c24dad9bdcf91d8295edaf736071158afd4913aa11768,0.5668789808917197,0.24722222222222223,0.18089430894308944
kernel_k11,1,159,f0f374bdb65b66270143f95dc883ff969bbca21a7e5840b18447387543374c12,0.7610062893081762,0.6544493851559069,0.6551149114616607
kernel_k11,2,156,0b5b52118db02c845fddd933ac2b00078b23b6fb2a5e1f2c95cf24aef6dced80,0.7051282051282052,0.5448067632850242,0.5950914423740511
kernel_k11,3,159,a465948981873e5775ad5dc9ee08251b1cb82e5bf67c7d2f94a06cb4b1373606,0.6855345911949685,0.5840332674571805,0.5798962052895964
kernel_k11,4,158,73e74f0988741323d2fd50ae3a4c4534c01ae03ed4d6b699cf2fdd0c95bd7f6f,0.8291139240506329,0.7768774703557313,0.7782770800627944
kernel_k11,5,157,8d30e94def8e08e4f183ea3e491ee18d083b574f97bffc87cd1a459cf43ac742,0.6114649681528662,0.5186958874458873,0.5182417582417582
kernel_k11,6,158,c2f828a0a81089c4ec546c097339e134e8b1408bb1d64daaa3426d5e00d4260b,0.6962025316455697,0.6736283643892339,0.6350211283267848
kernel_k11,7,158,72998d66d8da405531c4cb78589f297e8d2dc37c0e7b2a975e6bbb47204e2106,0.8607594936708861,0.8003403601229688,0.8043936462682008
kernel_k11,8,157,ec434ac1fd1c0c2c1cd7b7cd2ebe5a1ff21ade5ec2d4a9fca69a73d618d8e0f2,0.6496815286624203,0.5793917435221783,0.5675287356321839
kernel_k11,9,157,8b8bc6111e6e30a4378aefeb7a8cdf57f737128c78208597bbe285a882bd785a,0.6624203821656051,0.639556277056277,0.6198478574333568
kernel_k11,10,157,dcb2a55a0c36a61a9c8541cedc78686ba125bae920cdaf3b708c5a58ad9e96f0,0.7707006369426752,0.6789321789321788,0.6879914017532653
kernel_k11,11,158,b7c137e62da531d94ce4877362c930a5fb1054daa4bda94eff7df999321bd413,0.5569620253164557,0.4916447079490558,0.44417083593912865
kernel_k11,12,158,fef32dd3c5eedd68618520025506b930db3486be2a81c8891af0227165f73160,0.6329113924050633,0.5345755693581781,0.5479795313357427
kernel_k11,13,158,635776fc6ffdd53c204a95a2786cb7565635d88287173e7c2a34f1d0c43991c1,0.7215189873417721,0.6305775142731664,0.6283661529114993
kernel_k11,14,156,f9c49c03899f165aededea9503edd0affe516a9d4314bfa2a919fec0b52cc858,0.6602564102564102,0.581159420289855,0.5750703598798736
kernel_k11,15,158,a290f46872d32914bdec63cf75b37a3bed5b04ec3190352ec5b28e2f47146393,0.8354430379746836,0.8443895476504172,0.8094664727043975
kernel_k11,16,156,7638737754e7ce4b31ca13661b680055431b8e5f05062418ca6b6179dd14756f,0.6666666666666666,0.4508203149507497,0.4739837398373984
kernel_k11,17,156,0d2e7d83e2af72f2bf3acf6b893d7513ce3d4e296994790540309dcc11a6d6a6,0.7564102564102564,0.6096053704749357,0.6513497940831979
kernel_k11,18,158,c0141666680d88f39716f84cd850dff30ac5d7a1090d61b7d2b3dcaadbfe464f,0.9113924050632911,0.8782169521299956,0.8863300850559633
kernel_k11,19,158,420d110ff10f1ac32e9e615a40c18d708a36d10df32e892e1362dec6aa163120,0.7215189873417721,0.6048199385155907,0.6148147882401549
kernel_k11,20,157,79492e9ad59ea258dfed0026a2f2b085db25472cdfc0b4765513c633136fef08,0.8471337579617835,0.7721783047870004,0.7722750647521814
kernel_k11,21,156,195c9a4715ab76d642d2b6bd5f4fe4ea4210ae48c7868839248ee747faa0a8ca,0.6666666666666666,0.4610119047619048,0.487872029134165
kernel_k11,22,159,cc762e1403ec119d7e76ae305a184fbdfaec55a7fe6c30f12989c36301f6cb9e,0.8301886792452831,0.7537741545893719,0.7526586186461739
kernel_k11,23,157,23c3f3ca9710b672d70f19eb0f609e0e322934847747f485cd1cb0b5b0780a11,0.7070063694267515,0.5604743083003952,0.5744456256457094
