reference,comparator,metric,pairing_unit,held_out_samples_identical,n_paired_subjects,reference_mean,comparator_mean,mean_difference,median_difference,mean_difference_ci_2_5,mean_difference_ci_97_5,rank_biserial_correlation,wilcoxon_statistic,raw_p,holm_adjusted_p
kernel_k7_9_11_13,kernel_k13,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5721143854269646,0.011267087293364203,0.00983436853002062,0.0025882635375037164,0.019913649474909485,0.2815533980582524,1924.0,0.013116194520759909,0.09474410425113414
kernel_k7_9_11_13,kernel_k13,macro_f1,held-out subject,True,103,0.5863595246296984,0.5754741894108942,0.010885335218804217,0.011642580044631035,0.0016273333946858752,0.020391789016996606,0.2729648991784914,1947.0,0.016175538561480338,0.14557984705332305
kernel_k7_9_11_13,kernel_k7,accuracy,held-out subject,True,103,0.7021881626060971,0.6935627836932905,0.008625378912806528,0.006369426751592355,0.0017440050488285886,0.015614925769038024,0.2662459093034128,1569.5,0.02657156729656358,0.18600097107594507
kernel_k7_9_11_13,kernel_k7,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5632638458699033,0.020117626850425493,0.021212121212121238,0.010859570346168069,0.029533692755054602,0.42606422703510083,1537.0,0.00017417577176502062,0.0019159334894152268
kernel_k7_9_11_13,kernel_k7,macro_f1,held-out subject,True,103,0.5863595246296984,0.5697700431773902,0.016589481452308225,0.013938973929541576,0.006682439535304434,0.02647158384543537,0.3577296489917849,1720.0,0.00162299544776454,0.01785294992540994
kernel_k7_9_11_13,kernel_k7_13,accuracy,held-out subject,True,103,0.7021881626060971,0.697058413166929,0.005129749439168109,0.006329113924050556,-0.0023189197223684403,0.012484432754906932,0.1723122238586156,1967.0,0.14058458943980154,0.5656802289870022
kernel_k7_9_11_13,kernel_k7_13,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5703629226291742,0.013018550091154563,0.012939958592132483,0.002889840046274716,0.0226554008509079,0.3095593726661688,1849.0,0.006384670941506978,0.0574620384735628
kernel_k7_9_11_13,kernel_k7_13,macro_f1,held-out subject,True,103,0.5863595246296984,0.5747672162481529,0.011592308381545709,0.01358101555851865,0.0012512253128706113,0.021491423246706495,0.26512322628827484,1968.0,0.01949946322807433,0.15599570582459463
kernel_k7_9_11_13,kernel_k7_9,accuracy,held-out subject,True,103,0.7021881626060971,0.6971533969724663,0.005034765633630611,0.0064102564102563875,-0.00229703645356394,0.012331751975532842,0.18621134020618557,1894.5,0.11313604579740044,0.5656802289870022
kernel_k7_9_11_13,kernel_k7_9,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5699183423513311,0.013463130368997819,0.01618357487922706,0.0031104009552194367,0.02377861676220688,0.28566094100074685,1913.0,0.011843013031391767,0.09474410425113414
kernel_k7_9_11_13,kernel_k7_9,macro_f1,held-out subject,True,103,0.5863595246296984,0.5763242514464013,0.010035273183297175,0.01591951523548696,-0.0004302992215432938,0.020386558364737385,0.21583271097834206,2100.0,0.05722699925376089,0.28613499626880445
kernel_k7_9_11_13,kernel_k7_9_11,accuracy,held-out subject,True,103,0.7021881626060971,0.6930345887859402,0.009153573820157261,0.0064102564102563875,0.001718125789598797,0.016436563924319043,0.3241821093571265,1477.0,0.006630064117332996,0.06630064117332997
kernel_k7_9_11_13,kernel_k7_9_11,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5733521901155924,0.010029282604736373,0.015389924085576268,-0.00042106659521709577,0.020381920174883966,0.2335698282300224,2052.5,0.03960496291670846,0.23762977750025077
kernel_k7_9_11_13,kernel_k7_9_11,macro_f1,held-out subject,True,103,0.5863595246296984,0.5758385001729904,0.010521024456708014,0.015529044196378572,-0.00029561525997108605,0.021052600802748494,0.25392083644510827,1998.0,0.025276883136455975,0.17693818195519181
kernel_k7_9_11_13,kernel_k9,accuracy,held-out subject,True,103,0.7021881626060971,0.6858341292234047,0.016354033382692278,0.018867924528301883,0.009171212972134638,0.023450415487156113,0.47535353535353536,1298.5,4.013716783653786e-05,0.00044150884620191644
kernel_k7_9_11_13,kernel_k9,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5718516003367207,0.011529872383608131,0.01736111111111105,0.0018566798129641142,0.020800478154121563,0.31590739357729647,1832.0,0.005381379953917674,0.05381379953917674
kernel_k7_9_11_13,kernel_k9,macro_f1,held-out subject,True,103,0.5863595246296984,0.5739931872947484,0.012366337334950208,0.01773916311636592,0.0026003237064057246,0.022228609114374312,0.31926811053024645,1823.0,0.004909989587721979,0.04909989587721979
kernel_k7_9_11_13,kernel_k9_11,accuracy,held-out subject,True,103,0.7021881626060971,0.6951060881003815,0.007082074505715356,0.006329113924050556,0.00043271849182271814,0.014019637205428651,0.17280701754385966,1886.0,0.14356380698695614,0.5656802289870022
kernel_k7_9_11_13,kernel_k9_11,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.5717714898487376,0.011609982871591143,0.005808080808080818,0.0019523015005022154,0.021497114282638216,0.22908173170258203,2027.5,0.04554646498933101,0.23762977750025077
kernel_k7_9_11_13,kernel_k9_11,macro_f1,held-out subject,True,103,0.5863595246296984,0.5762082789640354,0.010151245665663108,0.007471599045044797,0.0006161477480150329,0.019787855646405783,0.18521284540702015,2182.0,0.10272169357326608,0.37866656593559866
kernel_k7_9_11_13,window_0_2,accuracy,held-out subject,False,103,0.7021881626060971,0.6923011380483466,0.009887024557750312,0.0,0.0008947760446361494,0.019192485443430204,0.2087912087912088,1656.0,0.08367031422447979,0.5020218853468787
kernel_k7_9_11_13,window_0_2,balanced_accuracy,held-out subject,False,103,0.5833814727203288,0.5718747810980821,0.011506691622246708,0.004754062362757994,0.000568291078791282,0.022844235924187908,0.20126960418222553,2139.0,0.07618461028370212,0.23762977750025077
kernel_k7_9_11_13,window_0_2,macro_f1,held-out subject,False,103,0.5863595246296984,0.5741651556280182,0.012194369001680283,0.004482604452399452,0.0006627865108009056,0.023984305748997462,0.18147871545929797,2192.0,0.10984271534361116,0.37866656593559866
kernel_k7_9_11_13,window_0_3,accuracy,held-out subject,False,103,0.7021881626060971,0.7001740745350491,0.002014088071047982,0.0,-0.0053743172551525475,0.009277567215900558,0.08361204013377926,1918.0,0.48848676747235853,0.5656802289870022
kernel_k7_9_11_13,window_0_3,balanced_accuracy,held-out subject,False,103,0.5833814727203288,0.5775547681177692,0.005826704602559393,-0.002777777777777768,-0.003838344626388108,0.015673026319396096,0.10604929051530994,2394.0,0.3501301298383751,0.3501301298383751
kernel_k7_9_11_13,window_0_3,macro_f1,held-out subject,False,103,0.5863595246296984,0.5801674785364029,0.006192046093295423,0.0037935526646691864,-0.00408654348075833,0.01639760291258203,0.11949215832710978,2358.0,0.2924445909132899,0.37866656593559866
kernel_k7_9_11_13,window_1_4,accuracy,held-out subject,True,103,0.7021881626060971,0.4856034406837298,0.2165847219223671,0.21656050955414008,0.2022922469149588,0.2305643812829233,1.0,0.0,1.2457825732880857e-18,1.6195173452745113e-17
kernel_k7_9_11_13,window_1_4,balanced_accuracy,held-out subject,True,103,0.5833814727203288,0.3196198248541009,0.26376164786622786,0.2631219022523371,0.24004159174510584,0.287983604208277,1.0,0.0,1.2469754626335515e-18,1.621068101423617e-17
kernel_k7_9_11_13,window_1_4,macro_f1,held-out subject,True,103,0.5863595246296984,0.3128686168568643,0.27349090777283414,0.27915169242176624,0.2507629311696602,0.29610233718191975,1.0,0.0,1.2469754626335515e-18,1.621068101423617e-17
